"","nearest_region_name","time","total_precipitation"
"172","American Samoa","2017-04-01",260.081345558167
"173","American Samoa","2017-05-01",294.746438980102
"174","American Samoa","2017-06-01",124.553008675575
"175","American Samoa","2017-07-01",73.613223016262
"176","American Samoa","2017-08-01",142.937737941742
"177","American Samoa","2017-09-01",119.157676115632
"178","American Samoa","2017-10-01",124.367738902569
"179","American Samoa","2017-11-01",264.551347732544
"180","American Samoa","2017-12-01",179.572897911072
"181","American Samoa","2018-01-01",172.438383579254
"182","American Samoa","2018-02-01",85.2214303612709
"183","American Samoa","2018-03-01",282.329671859741
"184","American Samoa","2018-04-01",235.695678710938
"185","American Samoa","2018-05-01",177.013219594956
"186","American Samoa","2018-06-01",139.16367316246
"187","American Samoa","2018-07-01",65.2658045738936
"188","American Samoa","2018-08-01",85.5425770282745
"189","American Samoa","2018-09-01",204.304342508316
"190","American Samoa","2018-10-01",123.359349012375
"191","American Samoa","2018-11-01",130.699672460556
"192","American Samoa","2018-12-01",274.074830532074
"193","American Samoa","2019-01-01",167.619025230408
"194","American Samoa","2019-02-01",291.637157440186
"195","American Samoa","2019-03-01",138.440963983536
"196","American Samoa","2019-04-01",199.110008239746
"197","American Samoa","2019-05-01",165.931929826736
"198","American Samoa","2019-06-01",101.048007488251
"199","American Samoa","2019-07-01",99.0112880468368
"200","American Samoa","2019-08-01",149.516123175621
"201","American Samoa","2019-09-01",128.531008541584
"202","American Samoa","2019-10-01",131.710317015648
"203","American Samoa","2019-11-01",149.62967145443
"204","American Samoa","2019-12-01",102.858062267303
"205","American Samoa","2020-01-01",184.339028358459
"206","American Samoa","2020-02-01",229.999298095703
"207","American Samoa","2020-03-01",163.789672136307
"208","American Samoa","2020-04-01",304.667016029358
"209","American Samoa","2020-05-01",139.908382177353
"210","American Samoa","2020-06-01",226.620342969894
"211","American Samoa","2020-07-01",168.231607794762
"212","American Samoa","2020-08-01",148.944189071655
"213","American Samoa","2020-09-01",179.726676225662
"214","American Samoa","2020-10-01",170.307414054871
"215","American Samoa","2020-11-01",310.988350391388
"216","American Samoa","2020-12-01",171.897092819214
"217","American Samoa","2021-01-01",244.537735939026
"218","American Samoa","2021-02-01",141.791792869568
"219","American Samoa","2021-03-01",269.141926765442
"220","American Samoa","2021-04-01",165.031673908234
"221","American Samoa","2021-05-01",192.210639953613
"222","American Samoa","2021-06-01",84.3763389736413
"223","American Samoa","2021-07-01",108.288707196713
"224","American Samoa","2021-08-01",150.036445617676
"225","Andorra","2017-01-01",4.64548377308529
"226","Andorra","2017-02-01",17.6846437575296
"227","Andorra","2017-03-01",48.8925795858959
"228","Andorra","2017-04-01",151.502675354481
"229","Andorra","2017-05-01",78.3016108125448
"230","Andorra","2017-06-01",25.6483344270382
"231","Andorra","2017-07-01",33.3403213224956
"232","Andorra","2017-08-01",21.7887093292084
"233","Andorra","2017-09-01",21.2353343255818
"234","Andorra","2017-10-01",72.6925784628838
"235","Andorra","2017-11-01",163.67234224081
"236","Andorra","2017-12-01",6.20322558929911
"237","Andorra","2018-01-01",4.4193546733004
"238","Andorra","2018-02-01",17.415714984294
"239","Andorra","2018-03-01",115.917094141245
"240","Andorra","2018-04-01",301.597014188766
"241","Andorra","2018-05-01",129.986124545336
"242","Andorra","2018-06-01",35.0376687664539
"243","Andorra","2018-07-01",20.1722572284052
"244","Andorra","2018-08-01",12.0251610144042
"245","Andorra","2018-09-01",16.9270009677857
"246","Andorra","2018-10-01",82.9493522197008
"247","Andorra","2018-11-01",64.6530028581619
"248","Andorra","2018-12-01",19.6532250763848
"249","Andorra","2019-01-01",2.75838710309472
"250","Andorra","2019-02-01",4.51428593194578
"251","Andorra","2019-03-01",12.1225802749395
"252","Andorra","2019-04-01",74.2756709717214
"253","Andorra","2019-05-01",119.937738537788
"254","Andorra","2019-06-01",17.9086678199237
"255","Andorra","2019-07-01",23.6019348548725
"256","Andorra","2019-08-01",11.1980641752598
"257","Andorra","2019-09-01",34.4976680348627
"258","Andorra","2019-10-01",279.108701348305
"259","Andorra","2019-11-01",174.934341967106
"260","Andorra","2019-12-01",82.3219328820705
"261","Andorra","2020-01-01",30.9787087999284
"262","Andorra","2020-02-01",14.8000009382958
"263","Andorra","2020-03-01",77.6625792473788
"264","Andorra","2020-04-01",213.526679158211
"265","Andorra","2020-05-01",56.3848367799073
"266","Andorra","2020-06-01",35.1856685578823
"267","Andorra","2020-07-01",26.6699990879861
"268","Andorra","2020-08-01",23.7258058465086
"269","Andorra","2020-09-01",24.6993345825467
"270","Andorra","2020-10-01",59.6661274433136
"271","Andorra","2020-11-01",146.559340953827
"272","Andorra","2020-12-01",39.6987083405256
"273","Andorra","2021-01-01",5.92096758913249
