"Date","City","Value","avg_precipitation_sums","avg_precipitation_hours","avg_temperature_max","avg_temperature_min","avg_temperature_mean","avg_apparent_temperature_max","avg_apparent_temperature_min","avg_apparent_temperature_mean","avg_sunrise","avg_sunset","avg_shortwave_radiation","avg_windspeed_max","avg_windgusts_max","avg_winddirection","avg_et0"
2016-05-01,"Kalutara",249,23.4258064516129,16.0967741935484,29.4645161290323,25.5322580645161,27.1354838709677,35.2935483870968,30.641935483871,32.5096774193548,NA,NA,13.9145161290323,15.2516129032258,34.7032258064516,223.096774193548,2.91903225806452
2016-05-01,"Kandy",154,22.6741935483871,12.1612903225806,27.5322580645161,22.458064516129,24.4806451612903,32.2548387096774,26.2645161290323,28.5354838709677,NA,NA,15.7906451612903,11.6967741935484,36.7838709677419,205.387096774194,3.11967741935484
2016-05-01,"Kurunegala",194,25.2677419354839,12.5483870967742,29.5903225806452,24.1290322580645,26.2161290322581,35.1290322580645,28.5290322580645,30.9129032258065,NA,NA,15.358064516129,14.5064516129032,36.3290322580645,208.032258064516,3.16225806451613
2016-05-01,"Mannar",16,8.77096774193548,6.64516129032258,30.6290322580645,27.3677419354839,28.8225806451613,35.5483870967742,30.8225806451613,32.6870967741935,NA,NA,18.3616129032258,25.6548387096774,42,211.677419354839,4.38225806451613
2016-05-01,"Matale",29,23.4645161290323,10.1935483870968,29.2032258064516,23.6096774193548,25.8064516129032,34.1290322580645,27.6548387096774,30.0903225806452,NA,NA,16.3445161290323,14.741935483871,38.7935483870968,213.451612903226,3.38645161290323
2016-05-01,"Matara",35,17.0032258064516,16.7096774193548,29.1741935483871,25.7,27.1677419354839,34.7032258064516,30.0677419354839,31.8870967741935,NA,NA,16.5764516129032,20,40.0032258064516,250.290322580645,3.34741935483871
2016-05-01,"Trincomalee",28,7.15483870967742,5.74193548387097,31.8161290322581,26.7161290322581,28.8645161290323,36.7516129032258,30.3612903225806,32.8741935483871,NA,NA,19.4709677419355,23.9129032258065,40.4096774193548,181.677419354839,4.7958064516129
2016-06-01,"Badulla",107,0.533333333333333,1.46666666666667,29.9766666666667,21.86,25.4866666666667,32.1466666666667,23.8866666666667,27.46,NA,NA,19.6286666666667,16.2,46.82,255.933333333333,4.62
2016-06-01,"Colombo",1459,7.30666666666667,13.8333333333333,29.0033333333333,25.5366666666667,26.9733333333333,34.11,29.8933333333333,31.5533333333333,NA,NA,16.8773333333333,19.5766666666667,45.98,251.866666666667,3.38666666666667
2016-06-01,"Galle",121,4.80666666666667,13.9333333333333,29.4966666666667,26.3333333333333,27.71,33.9666666666667,29.6,31.4466666666667,NA,NA,19.5246666666667,25.81,51.5533333333333,270.333333333333,4.05366666666667
2016-06-01,"Gampaha",555,7.41,15,29.1033333333333,25.1733333333333,26.7266666666667,34.15,29.6866666666667,31.3033333333333,NA,NA,16.8056666666667,18.98,46.1533333333333,232.366666666667,3.35033333333333
2016-06-01,"Hambantota",82,0.72,3.03333333333333,30.4833333333333,26.04,27.82,33.1933333333333,29.08,30.7033333333333,NA,NA,19.4786666666667,28.0233333333333,51.5333333333333,257.333333333333,4.67433333333333
2016-06-01,"Jaffna",80,1.36666666666667,3.4,30.26,28.17,29.0966666666667,33.4933333333333,30.2366666666667,31.5533333333333,NA,NA,19.332,33.1733333333333,47.9466666666667,223.366666666667,5.106
2016-06-01,"Kalutara",343,7.30666666666667,13.8333333333333,28.68,25.4466666666667,26.8733333333333,33.55,29.77,31.3366666666667,NA,NA,16.8773333333333,19.5766666666667,45.98,251.866666666667,3.383
2016-06-01,"Kandy",504,3.57333333333333,10.4666666666667,26.6,22.01,23.7966666666667,29.71,24.8033333333333,26.6366666666667,NA,NA,18.2256666666667,18.1166666666667,51.0866666666667,222.166666666667,3.43033333333333
2016-06-01,"Kurunegala",361,5.15666666666667,12.6666666666667,28.4966666666667,23.88,25.67,32.4966666666667,27.2533333333333,29.0733333333333,NA,NA,17.6783333333333,20.2233333333333,50.2566666666667,215.533333333333,3.51733333333333
2016-06-01,"Mannar",10,1.43333333333333,3.63333333333333,29.9633333333333,27.4733333333333,28.5333333333333,32.9866666666667,29.5133333333333,30.86,NA,NA,19.6366666666667,32.4133333333333,52.4966666666667,223.766666666667,4.901
2016-06-01,"Matale",89,2.84,8.8,28.3866666666667,23.55,25.41,31.4266666666667,26.38,28.18,NA,NA,18.6083333333333,21.83,54.95,222.6,3.86833333333333
